KEY                              ORT FİYAT  ORt KM      TOP ILAN   

civic - 2007
diger                           75000       14550       8/8        
Comfortline                     66631       12973       289/289    
benzin-lpg,benzin               60141       9547        179/179    
dizel                           66304       15768       272/272    
otomatik,yari-otomatik          68637       12858       263/263    
manuel                          57173       14512       188/188    

polo - 2017
Allstar                         75362       15          9/9        
Comfortline                     68417       365         14/14      
dizel                           77833       1           3/3        
benzin-lpg,benzin               69312       1           20/20      
otomatik,yari-otomatik          72090       1           20/20      
manuel                          59316       1765        3/3        

astra - 2007
Essentia                        33433       187658      67/69      
Sport                           34820       148800      5/5        
OPC                             62000       108500      1/1        
Enjoy                           36532       170503      203/214    
Club                            30335       131030      10/10      
Elegance                        33583       159216      3/3        
diger                           33478       143549      66/70      
Cosmo                           36953       184760      25/27      
benzin-lpg,benzin               34879       143271      161/170    
dizel                           35473       185770      219/229    
otomatik,yari-otomatik          37479       164483      102/104    
manuel                          34397       169596      278/295    

astra - 2008
Essentia                        34174       184547      87/93      
Sport                           40961       129950      9/9        
Enjoy                           37958       157668      427/443    
Club                            32612       124363      11/11      
Comfort                         33750       180000      1/1        
Elegance                        38250       130500      2/2        
diger                           35693       119508      40/43      
Cosmo                           38355       169874      47/48      
benzin-lpg,benzin               38048       131217      230/242    
dizel                           36806       175054      394/408    
otomatik,yari-otomatik          38802       154296      118/120    
manuel                          36913       160164      506/530    

astra - 2009
Essentia                        35794       173959      25/27      
Sport                           44600       126250      2/2        
Enjoy                           40942       127700      226/231    
Club                            34937       85200       4/4        
Elegance                        40500       144333      3/3        
diger                           34900       101232      20/22      
Cosmo                           43138       142333      9/10       
benzin-lpg,benzin               40099       103148      136/141    
dizel                           39922       154591      153/158    
otomatik,yari-otomatik          41625       125488      78/78      
manuel                          39522       132330      211/221    

astra - 2010
Essentia                        42129       106524      82/85      
Sport                           48503       102457      48/48      
ecoFLEX Sport                   47875       131000      3/3        
Enjoy                           43053       119667      270/275    
Elegance                        37750       112500      1/1        
diger                           40283       88136       9/9        
Cosmo                           51396       111103      33/33      
benzin-lpg,benzin               45028       98876       231/237    
dizel                           42905       132603      215/217    
otomatik,yari-otomatik          45746       111392      147/148    
manuel                          43034       116922      299/306    

astra - 2011
Essentia                        44565       98624       229/235    
Sport                           51005       90290       103/103    
ecoFLEX Sport                   51058       126236      77/77      
Enjoy                           45426       108248      468/479    
diger                           44830       61957       7/8        
Cosmo                           51804       96634       56/58      
Edition                         43912       114714      4/4        
Business                        47000       76000       1/1        
benzin-lpg,benzin               47241       83893       383/397    
dizel                           46271       118318      562/568    
otomatik,yari-otomatik          47835       97913       271/275    
manuel                          46192       107120      674/690    

astra - 2012
Essentia                        46150       73309       223/228    
Sport                           55586       84835       229/229    
ecoFLEX Sport                   51773       102376      21/21      
Enjoy                           48504       84270       289/297    
Comfort                         43050       39250       2/2        
diger                           46175       51847       12/12      
Cosmo                           56719       88185       113/113    
Edition                         49984       77457       157/158    
Business                        55750       116500      1/1        
benzin-lpg,benzin               49143       66869       529/540    
dizel                           52204       96266       518/521    
otomatik,yari-otomatik          51755       71076       178/178    
manuel                          50434       83670       869/883    

astra - 2013
Essentia                        47324       46400       189/199    
Active                          56750       71125       4/4        
Sport                           59212       61062       239/239    
ecoFLEX Sport                   62375       68000       4/4        
Enjoy                           53163       56127       80/81      
Comfort                         45910       67540       5/5        
diger                           46366       33614       6/7        
Cosmo                           60644       67585       79/79      
Edition                         52296       70868       202/203    
Business                        53159       90078       65/65      
dizel                           57247       84913       315/315    
benzin-lpg,benzin               51968       50384       558/571    
otomatik,yari-otomatik          56344       48392       169/169    
manuel                          53281       66007       704/717    

astra - 2014
Essentia                        48375       35327       3/3        
Sport                           66577       50509       170/170    
Enjoy                           62600       35025       33/33      
Cosmo                           70127       40212       34/34      
Edition                         54177       47773       129/129    
Business                        58866       64129       75/75      
dizel                           65544       61209       245/245    
benzin-lpg,benzin               56719       37245       199/199    
otomatik,yari-otomatik          62539       36564       66/66      
manuel                          61488       52935       378/378    

astra - 2015
Essentia                        50750       30000       2/2        
Sport                           69427       30267       213/213    
Dynamic                         81874       21644       28/28      
Enjoy                           66250       23831       69/69      
Excellence                      94357       21392       28/28      
Comfort                         56000       9500        1/1        
diger                           53500       8000        1/1        
Cosmo                           73990       24175       27/27      
Edition                         56523       26064       211/211    
Business                        63080       53624       49/49      
benzin-lpg,benzin               60081       23652       354/354    
dizel                           73449       36148       275/275    
otomatik,yari-otomatik          72951       23866       148/148    
manuel                          63822       30683       481/481    

astra - 2016
Design                          77323       22612       184/184    
Sport                           84807       17372       63/63      
Dynamic                         85504       10079       147/147    
